input,gold_hard,fine_label,llm_soft,llm_hard
How many hummingbird eggs could fit in one ostrich egg ?,numeric value,38,"[{'n': -7.818713e-06, 'entity': -12.465705, 'description': -12.500235, 'ab': -15.012313, 'human': -19.121618}]",n
"Who wrote the bestselling Missionary Travels and Researches in South Africa , published in 1857 ?",human being,29,"[{'human': -0.34814447, 'entity': -1.2508392, 'description': -4.8654323, 'n': -10.78968, 'location': -11.625626}]",human
Who played the father on `` Charles in Charge '' ?,human being,29,"[{'human': -0.03275846, 'entity': -3.4524207, 'description': -7.5143943, 'n': -11.574361, 'ab': -12.900609}]",human
What is the gestation period for human pregnancies ?,numeric value,44,"[{'n': -0.00043605478, 'description': -7.8984766, 'entity': -9.685845, 'ab': -13.3218155, 'human': -14.321541}]",n
Where did the name Daniel originate ?,location,35,"[{'entity': -0.5192554, 'description': -0.9578311, 'human': -4.5184617, 'location': -4.5775437, 'n': -9.359785}]",entity
What are common methods used to regulate monopolies ?,entity,20,"[{'description': -0.000447267, 'entity': -7.7145886, 'n': -13.829259, 'ab': -17.698551, 'location': -18.008602}]",description
What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,description,24,"[{'description': -0.03763158, 'entity': -3.2996478, 'n': -11.052532, 'ab': -11.302532, 'human': -11.810267}]",description
How long does the average domesticated ferret live ?,numeric value,44,"[{'n': -2.045765e-05, 'description': -11.196149, 'entity': -11.949093, 'ab': -15.111173, 'location': -17.355473}]",n
Name the Islamic counterpart to the Red Cross .,entity,21,"[{'entity': -0.0014106566, 'description': -6.6972494, 'ab': -8.973861, 'human': -9.978072, 'n': -13.325606}]",entity
What are the historical trials following World War II called ?,entity,8,"[{'entity': -0.3144291, 'description': -1.311591, 'ab': -7.884917, 'n': -11.013282, 'location': -11.821554}]",entity
What states do not have state income tax ?,location,36,"[{'location': -0.03324396, 'entity': -3.4574764, 'description': -7.4639916, 'n': -7.7358727, 'ab': -8.634974}]",location
What city has the two steepest streets in the U.S. ?,location,32,"[{'location': -3.6482897e-06, 'entity': -12.878528, 'n': -14.285472, 'description': -14.498523, 'ab': -17.460314}]",location
What is Margaret Thatcher known for ?,description,27,"[{'description': -0.00039353952, 'entity': -7.841946, 'human': -14.941296, 'n': -15.42699, 'ab': -17.868328}]",description
Name the country of giants twelve times the size of man in `` Gulliver 's Travels . '',location,33,"[{'entity': -0.106914036, 'description': -2.3011737, 'location': -6.7219267, 'human': -10.361064, 'n': -10.9056425}]",entity
What 's men 's par on a 455-yard golf hole ?,numeric value,43,"[{'n': -0.0007096199, 'description': -7.5731964, 'entity': -8.58023, 'ab': -12.087981, 'location': -13.268523}]",n
What four elements make up 90 percent of the human body ?,entity,18,"[{'description': -0.036983177, 'entity': -3.942371, 'n': -4.166965, 'human': -6.5756564, 'location': -11.403887}]",description
How many countries are there ?,numeric value,38,"[{'n': -2.5744682e-06, 'entity': -12.882073, 'ab': -17.193735, 'description': -18.137436, 'location': -19.463467}]",n
Where does most of the marijuana entering the United States come from ?,location,35,"[{'location': -0.09747406, 'entity': -2.435868, 'description': -5.246705, 'n': -9.438897, 'ab': -11.765633}]",location
Stuart Hamblen is considered to be the first singing cowboy of which medium ?,entity,5,"[{'description': -0.31513193, 'entity': -1.3146665, 'human': -6.3991694, 'ab': -9.828788, 'n': -10.822204}]",description
What is Steve Rogers 's profession when he 's not Captain America ?,human being,30,"[{'description': -0.056075342, 'entity': -3.560523, 'human': -3.645881, 'n': -11.66815, 'location': -14.128355}]",description
What is the most common cancer ?,entity,7,"[{'description': -0.12381985, 'entity': -2.1506677, 'n': -10.166941, 'human': -11.446755, 'location': -12.329897}]",description
Who are the top 10 richest people in the world ?,human being,29,"[{'entity': -0.2904182, 'human': -1.473905, 'description': -4.281446, 'n': -4.705686, 'location': -8.785848}]",entity
How do I contact Answers.com direct ?,description,26,"[{'entity': -0.009359471, 'description': -4.7826595, 'human': -7.0398536, 'ab': -10.0503435, 'location': -10.862538}]",entity
What causes a person to have constantly sweaty hands and feet ?,description,27,"[{'description': -0.00023130498, 'entity': -8.764086, 'human': -9.567523, 'n': -12.3243265, 'location': -14.737933}]",description
What happened to Answers.com ?,description,25,"[{'description': -0.08905709, 'entity': -2.4628592, 'ab': -11.335624, 'location': -13.034184, 'n': -13.376295}]",description
What is the spectrum of a sine wave ?,description,24,"[{'description': -0.011593557, 'n': -5.05499, 'entity': -5.269238, 'ab': -13.490758, 'location': -15.710926}]",description
What ethnic group introduced the idea of potlatch ?,human being,28,"[{'entity': -0.5134423, 'description': -0.91449666, 'human': -7.100173, 'n': -11.143645, 'location': -12.042509}]",entity
What is a person 's socioeconomic position ?,description,24,"[{'human': -0.29200426, 'description': -1.6943632, 'entity': -2.669278, 'n': -8.5304985, 'location': -10.957104}]",human
What do you say to a friend who ignores you for other friends ?,description,25,"[{'description': -6.6294406e-06, 'entity': -11.994239, 'human': -14.989988, 'n': -16.118155, 'location': -18.078117}]",description
How many yards are in 1 mile ?,numeric value,38,"[{'n': -4.277735e-07, 'entity': -14.895409, 'description': -16.524033, 'ab': -16.760712, 'location': -19.38137}]",n
What actor was the first man to appear on the cover of McCall 's ?,human being,29,"[{'entity': -0.41857824, 'human': -1.1007987, 'description': -4.667449, 'n': -11.316381, 'location': -12.879951}]",entity
"What does R.E.M. stand for , as in the rock group R.E.M. ?",abbreviation,1,"[{'ab': -3.333313e-05, 'entity': -10.370157, 'description': -13.555316, 'n': -14.202472, 'location': -21.088587}]",ab
What Cruise Line does Kathie Lee Gifford advertise for ?,human being,28,"[{'entity': -0.08047833, 'human': -2.729717, 'description': -4.4238315, 'ab': -9.421153, 'n': -11.299356}]",entity
What does the name Jenna mean ?,description,24,"[{'description': -0.00095175515, 'entity': -6.972913, 'human': -11.386136, 'n': -12.872295, 'ab': -14.51608}]",description
Why do girls have to wear training bras ?,description,27,"[{'description': -1.9741461e-05, 'entity': -11.16132, 'human': -12.506421, 'n': -13.25449, 'location': -15.759425}]",description
When was the first successful heart transplant for a human ?,numeric value,39,"[{'human': -0.017090727, 'entity': -4.131493, 'description': -7.690491, 'n': -7.770951, 'location': -11.81073}]",human
How did Edith Bunker die ?,description,26,"[{'description': -0.012027567, 'entity': -4.5078545, 'human': -6.999729, 'n': -10.9656105, 'location': -12.524158}]",description
"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?",location,33,"[{'location': -0.005470769, 'entity': -5.219811, 'description': -10.153253, 'n': -11.715492, 'ab': -14.761101}]",location
Define Spumante .,description,24,"[{'description': -0.0018172237, 'entity': -6.3246856, 'ab': -10.700425, 'n': -13.458923, 'human': -16.878572}]",description
What does pH stand for ?,abbreviation,1,"[{'ab': -9.012677e-06, 'entity': -12.138382, 'n': -12.639473, 'description': -14.491264, 'location': -20.219223}]",ab
What country is Mount Everest in ?,location,33,"[{'location': -0.006290494, 'entity': -5.0755424, 'description': -11.056385, 'n': -11.984553, 'ab': -13.833263}]",location
Which country is the largest country in Latin America ?,location,33,"[{'location': -0.091393515, 'entity': -2.467492, 'description': -6.024903, 'n': -8.991341, 'ab': -13.170196}]",location
Name the Four Horsemen of the Apocalypse .,human being,29,"[{'entity': -0.051097855, 'description': -3.0010793, 'human': -9.75957, 'ab': -11.269709, 'n': -11.524706}]",entity
What are geckos ?,description,24,"[{'description': -0.02741872, 'entity': -3.6102204, 'n': -14.932586, 'location': -16.816542, 'ab': -18.277754}]",description
What is the name of a book written by Aaron Hass ?,entity,5,"[{'entity': -0.12953117, 'description': -2.1083825, 'human': -9.889289, 'n': -11.971587, 'location': -14.01206}]",entity
What is cosmology ?,description,24,"[{'description': -0.014064678, 'entity': -4.271358, 'n': -12.684093, 'ab': -15.173481, 'location': -17.207659}]",description
How many watts make a kilowatt ?,numeric value,38,"[{'n': -9.055464e-07, 'description': -14.490334, 'entity': -14.602272, 'ab': -17.095299, 'location': -21.361664}]",n
What TV series features the adventures of a married couple named Jonathan and Jennifer ?,entity,5,"[{'description': -0.0058186743, 'entity': -5.1503115, 'human': -12.744152, 'n': -13.76624, 'location': -15.611447}]",description
What female faith healer wrote the inspirational book I Believe in Miracles ?,human being,29,"[{'entity': -0.19340636, 'human': -2.3668604, 'description': -2.5002835, 'n': -11.420663, 'location': -12.352471}]",entity
Who was Jinnah ?,human being,31,"[{'entity': -0.18818274, 'human': -1.8572501, 'description': -4.171863, 'n': -11.7150755, 'location': -12.9325905}]",entity
What did Esquire name Ash Hole of the Year for 1980 ?,entity,13,"[{'description': -0.47386625, 'entity': -1.0047958, 'human': -4.728436, 'ab': -6.187085, 'n': -7.88329}]",description
Where did King Francis I hang the `` Mona Lisa '' when he owned it ?,location,35,"[{'location': -0.031679288, 'entity': -3.6779041, 'description': -5.1334934, 'n': -11.89515, 'ab': -12.872095}]",location
What 's been the ruin of many a poor boy in New Orleans ?,entity,13,"[{'description': -0.0028400405, 'entity': -6.3051314, 'location': -6.912073, 'human': -11.571253, 'n': -12.555338}]",description
What is habeas corpus ?,description,24,"[{'entity': -0.66359, 'ab': -1.1994178, 'description': -1.6950155, 'n': -10.3435135, 'location': -13.3795395}]",entity
How do you use an intranet ?,description,26,"[{'description': -0.0028087788, 'entity': -5.8777084, 'human': -13.332809, 'n': -13.48018, 'location': -14.495217}]",description
What famous husband-and-wife team did radio ads for Blue Nun wine ?,human being,29,"[{'entity': -0.48010287, 'description': -1.4682163, 'human': -1.8911747, 'n': -10.792114, 'location': -11.022438}]",entity
How many times has Harold Stassen announced a drive for the White House ?,numeric value,38,"[{'n': -4.0040345e-06, 'entity': -12.59766, 'description': -14.559826, 'ab': -15.550808, 'human': -17.814892}]",n
What are bottle caps with presidents ' pictures inside worth ?,numeric value,41,"[{'n': -0.46195775, 'description': -1.4845787, 'entity': -1.9474617, 'ab': -7.338651, 'location': -10.1327715}]",n
Where can I find the history of the Hungarian language ?,location,35,"[{'description': -0.12028878, 'entity': -2.400898, 'location': -3.7872655, 'n': -10.142245, 'human': -13.563404}]",description
"Why do USA fax machines not work in UK , NNP ?",description,27,"[{'ab': -0.67615706, 'entity': -1.0496235, 'description': -2.3364277, 'location': -3.1145952, 'n': -8.484117}]",ab
What cigarette is `` a whole new world '' ?,entity,13,"[{'description': -0.023378277, 'entity': -3.7679384, 'human': -12.538927, 'ab': -13.339975, 'n': -13.351656}]",description
Who tramped through Florida looking for the Fountain of Youth ?,human being,29,"[{'description': -0.014708543, 'entity': -4.5123434, 'human': -5.8313355, 'location': -7.2955303, 'n': -11.093695}]",description
"In 1990 , what day of the week did Christmas fall on ?",numeric value,39,"[{'n': -0.0005375511, 'entity': -8.152302, 'description': -8.378978, 'ab': -10.958141, 'location': -13.077456}]",n
What is the name of the song that Dracula plays on the organ ?,entity,5,"[{'description': -0.032575622, 'entity': -3.44071, 'n': -12.17069, 'human': -12.77197, 'location': -14.207501}]",description
What two animals are specifically mentioned as being in Noah 's Ark ?,entity,2,"[{'entity': -0.32961592, 'description': -1.27016, 'n': -11.350252, 'location': -13.898401, 'human': -14.455935}]",entity
What is federal income tax ?,description,24,"[{'description': -0.19648546, 'n': -2.2600992, 'entity': -2.6053371, 'ab': -8.775213, 'human': -11.256056}]",description
What was the name of the Confederate mounted guerrilla group with which Jesse James and Coleman Younger had ridden ?,human being,28,"[{'entity': -0.028549813, 'description': -3.5708015, 'human': -11.435821, 'n': -13.521773, 'ab': -14.412415}]",entity
"What disease plagued Europe , Africa and Asia ?",entity,7,"[{'description': -0.2903291, 'entity': -1.3785096, 'n': -11.247284, 'ab': -11.700667, 'location': -12.128631}]",description
What card game can feature dealer 's choice ?,entity,17,"[{'description': -0.19113211, 'entity': -1.750817, 'human': -8.210747, 'ab': -9.914926, 'n': -10.685509}]",description
How many American soldiers are stationed in South Korea ?,numeric value,38,"[{'n': -6.1516675e-06, 'entity': -12.00446, 'ab': -16.482746, 'description': -16.6238, 'location': -18.318586}]",n
What is a fear of failure ?,entity,7,"[{'description': -0.0005024268, 'entity': -7.6046357, 'n': -12.963246, 'human': -13.380385, 'ab': -15.041457}]",description
How many feet more than 2 is the average height of the Great Wall of China ?,numeric value,38,"[{'n': -2.0098154e-05, 'entity': -11.002233, 'description': -12.594548, 'ab': -15.85635, 'location': -16.802761}]",n
What was the verdict in the 1925 trial of John T. Scopes ?,description,25,"[{'description': -0.39244235, 'entity': -1.4048172, 'n': -2.5937362, 'human': -5.454393, 'ab': -8.755648}]",description
What is the best way to travel in Japan ?,entity,20,"[{'description': -0.011940281, 'entity': -4.457611, 'location': -8.265633, 'n': -10.902252, 'human': -12.667663}]",description
How long ago did the Anglican church part from the Vatican ?,numeric value,44,"[{'n': -0.42731884, 'description': -1.203152, 'entity': -3.0621457, 'ab': -7.570377, 'location': -9.037174}]",n
How much did Lucy Van Pelt originally charge for psychiatric sessions ?,numeric value,41,"[{'n': -1.6045058e-05, 'entity': -11.454797, 'description': -12.148201, 'ab': -15.792908, 'human': -18.258842}]",n
Who followed up his first two underwater thrillers with The Girl of the Sea of Cortez ?,human being,29,"[{'human': -0.65405923, 'entity': -0.8336781, 'description': -3.088561, 'n': -9.970716, 'location': -12.058165}]",human
When was the Parthenon built ?,numeric value,39,"[{'n': -0.14405549, 'entity': -2.563428, 'description': -2.86942, 'human': -8.64903, 'location': -8.826085}]",n
What 1895 H.G. Wells novel was written under the title The Chronic Argonauts ?,entity,5,"[{'entity': -0.42721057, 'description': -1.0567576, 'n': -9.865274, 'ab': -10.665255, 'human': -10.996828}]",entity
What is a common dolphin ?,description,24,"[{'description': -0.06524674, 'entity': -2.7620318, 'n': -14.636992, 'location': -17.322683, 'ab': -17.627264}]",description
How is Answers.com funded ?,description,26,"[{'description': -0.33283964, 'entity': -1.2623823, 'n': -9.186355, 'ab': -10.725234, 'location': -11.640273}]",description
How long does a pig 's orgasm last ?,numeric value,44,"[{'n': -0.0029341858, 'description': -6.0400963, 'entity': -7.5379453, 'ab': -11.133884, 'human': -13.774007}]",n
What U.S. state comes last in an alphabetical list ?,location,36,"[{'location': -0.11385267, 'ab': -2.328727, 'entity': -4.6456823, 'description': -7.8662324, 'n': -8.496962}]",location
How many mountains have been named for Presidents in the continental USA ?,numeric value,38,"[{'n': -4.4818075e-06, 'entity': -12.358731, 'description': -15.473026, 'ab': -16.239887, 'location': -18.569859}]",n
What are the unemployment statistics for the years 1965 and 1990 ?,numeric value,43,"[{'n': -2.462996e-05, 'entity': -10.894845, 'description': -12.042619, 'ab': -15.543641, 'location': -17.453493}]",n
What does BUD stand for ?,abbreviation,1,"[{'ab': -1.5006569e-06, 'n': -13.818071, 'entity': -14.556276, 'description': -16.475723, 'location': -21.230034}]",ab
Who is the one Independent Member of Congress ?,human being,29,"[{'human': -0.17319395, 'entity': -1.8433828, 'description': -7.217665, 'n': -12.166212, 'location': -12.284253}]",human
What is a society ruled by elders ?,human being,28,"[{'description': -0.00027399295, 'entity': -8.205749, 'n': -14.053519, 'human': -16.103354, 'ab': -17.387419}]",description
What two presidents of the U.S. published books of poetry ?,human being,29,"[{'entity': -0.48763162, 'human': -0.9866704, 'description': -4.352668, 'n': -8.654868, 'location': -10.074958}]",entity
Which of the Seven Dwarfs comes first alphabetically ?,human being,29,"[{'entity': -0.12133136, 'description': -2.9015362, 'ab': -2.955491, 'human': -5.0294886, 'n': -7.3362894}]",entity
What professional cricketer 's son wrote The War of the Worlds in 1898 ?,human being,29,"[{'entity': -0.4358299, 'human': -1.2782143, 'description': -2.5948188, 'n': -9.818451, 'location': -10.833275}]",entity
What condiment do the Dutch dip their French fries in ?,entity,9,"[{'description': -0.0013609964, 'entity': -6.6015577, 'n': -14.239711, 'human': -14.427501, 'ab': -14.8488035}]",description
Which comic strip was never turned into a Broadway musical ?,entity,5,"[{'description': -0.0032568157, 'entity': -5.729376, 'n': -13.324911, 'human': -14.336692, 'location': -15.627974}]",description
In what war was the first submarine used ?,entity,8,"[{'entity': -0.383223, 'description': -1.1489854, 'location': -7.223486, 'human': -7.906538, 'n': -8.326017}]",entity
CPR is the abbreviation for what ?,abbreviation,1,"[{'ab': -1.1430258e-06, 'n': -13.653297, 'description': -16.658401, 'entity': -17.438736, 'location': -21.298729}]",ab
How many inches apart are adjacent pins in tenpin bowling ?,numeric value,38,"[{'n': -2.0966954e-06, 'description': -13.770959, 'entity': -13.813859, 'ab': -16.22036, 'location': -18.809229}]",n
How many miles of corridors are in The Pentagon ?,numeric value,38,"[{'n': -1.3823812e-06, 'entity': -13.511979, 'description': -16.704264, 'ab': -17.357185, 'location': -19.556137}]",n
How do you find the area of a circle ?,description,26,"[{'n': -0.002578619, 'description': -5.995391, 'entity': -9.378371, 'ab': -14.560668, 'location': -16.392883}]",n
What U.S. state includes the San Juan Islands ?,location,36,"[{'location': -0.0002419183, 'entity': -8.936949, 'ab': -9.328871, 'description': -11.014813, 'n': -12.167547}]",location
"What English playwright penned : `` Where the bee sucks , so shall I '' ?",human being,29,"[{'entity': -0.4460519, 'human': -1.0988305, 'description': -3.6327658, 'n': -9.476363, 'ab': -9.867644}]",entity
What do the red-and-white stripes on a barbershop pole stand for ?,description,24,"[{'description': -0.0006999565, 'entity': -7.267049, 'n': -14.020131, 'ab': -14.480283, 'location': -15.582632}]",description
Name the ship Beany and Cecil sailed .,entity,22,"[{'entity': -0.0902589, 'description': -2.4503434, 'human': -10.860644, 'location': -11.265361, 'n': -11.660945}]",entity
How deep is a fathom ?,numeric value,40,"[{'n': -0.00850339, 'description': -5.381062, 'entity': -5.6038165, 'ab': -8.820705, 'location': -10.895878}]",n
What was the `` Dead Man 's Hand '' ?,description,24,"[{'description': -0.211797, 'entity': -1.6573611, 'ab': -8.398473, 'n': -12.365765, 'location': -15.399563}]",description
What was Fred Astaire 's dancing partner 's name ?,human being,29,"[{'human': -0.30944547, 'entity': -1.3407031, 'description': -5.4098177, 'n': -11.635143, 'location': -13.26086}]",human
How do I find a web address for a company ?,description,26,"[{'entity': -0.011167507, 'description': -4.504591, 'location': -10.089979, 'n': -12.284626, 'ab': -13.7797985}]",entity
What is the highest number of home runs on record for any one game ?,numeric value,38,"[{'n': -4.9586424e-06, 'entity': -12.392544, 'description': -14.108921, 'ab': -16.10632, 'human': -19.241344}]",n
What are some of Australia 's native flora ?,entity,14,"[{'description': -0.011342316, 'entity': -4.4853106, 'n': -12.498036, 'location': -13.690152, 'human': -18.5602}]",description
What heavyweight boxer was known as The Wild Bull of the Pampas ?,human being,29,"[{'entity': -0.20448211, 'description': -1.7434608, 'human': -4.6044226, 'n': -11.810812, 'location': -13.596273}]",entity
How many quarts of whole milk is needed to make one pound of butter ?,numeric value,38,"[{'n': -1.1430258e-06, 'entity': -14.4066925, 'description': -14.421272, 'ab': -17.060493, 'location': -20.46762}]",n
What London street claims to be the world center for men 's tailoring ?,location,35,"[{'location': -0.20128681, 'description': -1.9676366, 'entity': -3.1577532, 'n': -11.594283, 'ab': -12.400123}]",location
How old is the universe ?,numeric value,44,"[{'n': -0.00052640087, 'entity': -8.13407, 'description': -8.368293, 'ab': -14.364189, 'location': -15.827232}]",n
When does the Bible say the seasons started ?,numeric value,39,"[{'description': -0.09494445, 'entity': -2.4356654, 'n': -5.8966866, 'location': -8.826908, 'human': -9.171917}]",description
What animal has been called The Poor Man 's Cow ?,entity,2,"[{'description': -0.31729177, 'entity': -1.3023915, 'n': -14.039084, 'location': -16.011581, 'ab': -16.311996}]",description
Where did the marriage ceremony come from ?,description,25,"[{'description': -0.20263329, 'location': -2.3531919, 'entity': -2.4268842, 'n': -10.2719, 'human': -11.788136}]",description
What bordering country is due north of Costa Rica ?,location,33,"[{'location': -0.039019704, 'entity': -3.2653456, 'description': -9.686084, 'n': -10.799167, 'ab': -13.26488}]",location
What Morris West novel deals with Russian bishop who becomes Pope ?,entity,5,"[{'description': -0.21138176, 'entity': -1.658037, 'n': -11.454446, 'human': -11.628419, 'location': -13.012643}]",description
What nation boarders Mozambique ?,location,33,"[{'entity': -0.5623168, 'location': -0.8516539, 'description': -5.7016215, 'n': -9.960464, 'ab': -11.541007}]",entity
What does EKG stand for ?,abbreviation,1,"[{'ab': -3.4089344e-06, 'entity': -13.09601, 'n': -13.610339, 'description': -15.521983, 'location': -21.17824}]",ab
The Olympic Games in which year allowed Nadia Comaneci to become popular ?,numeric value,39,"[{'n': -0.00013347782, 'entity': -9.133999, 'description': -10.954265, 'ab': -11.846195, 'human': -14.519771}]",n
What TV talk-show host lends his name to a line of men 's clothing ?,human being,29,"[{'entity': -0.649325, 'description': -0.8703486, 'human': -2.8373895, 'ab': -8.629473, 'n': -10.295862}]",entity
What soft drink held a national flavor poll in 1967 ?,entity,9,"[{'description': -0.09507148, 'entity': -2.4007661, 'n': -10.259995, 'location': -12.230034, 'ab': -12.772263}]",description
Colin Powell is famous for what ?,description,27,"[{'human': -0.5186819, 'entity': -1.4547933, 'description': -1.7648062, 'n': -11.019597, 'ab': -11.93263}]",human
The Jewish alphabet is known as what ?,entity,21,"[{'entity': -0.6686954, 'ab': -0.8661899, 'description': -2.7023869, 'n': -10.650927, 'human': -12.839388}]",entity
What is a fear of home surroundings ?,entity,7,"[{'description': -0.0014256403, 'entity': -6.557715, 'n': -12.415213, 'human': -13.9584875, 'location': -15.031371}]",description
How many people die of tuberculosis yearly ?,numeric value,38,"[{'n': -2.8138238e-06, 'entity': -12.809016, 'description': -16.027042, 'ab': -17.015024, 'human': -18.867022}]",n
What is a specimen of basidiomycetes ?,description,24,"[{'description': -0.076614216, 'entity': -2.6070786, 'n': -12.740341, 'ab': -15.686049, 'location': -15.775542}]",description
Who invented the electric guitar ?,human being,29,"[{'entity': -0.62705594, 'human': -0.7919348, 'description': -4.3575625, 'n': -9.940791, 'location': -11.399173}]",entity
What is the capital of California ?,location,32,"[{'location': -0.0030197382, 'entity': -5.8258495, 'description': -10.247305, 'n': -10.699186, 'ab': -11.892737}]",location
What country comes last in an alphabetical list ?,location,33,"[{'location': -0.13913827, 'entity': -2.059312, 'description': -6.3135986, 'n': -8.165338, 'ab': -8.282571}]",location
What are faults in the earth 's crust ?,description,24,"[{'description': -0.0041046534, 'entity': -5.499229, 'n': -12.523428, 'location': -12.863531, 'human': -16.833303}]",description
What was an `` Asiento '' ?,description,24,"[{'entity': -0.66235083, 'description': -0.7348225, 'ab': -5.34715, 'n': -11.622251, 'location': -14.198772}]",entity
What kind of greeting is appropriate to send on Yom Kippur ?,description,25,"[{'description': -0.00101094, 'entity': -6.941662, 'human': -10.273151, 'n': -12.179539, 'location': -13.086466}]",description
How hot should the oven be when baking Peachy Oat Muffins ?,numeric value,47,"[{'n': -1.4854846e-05, 'description': -11.545554, 'entity': -12.198875, 'ab': -15.337089, 'location': -17.561745}]",n
What is dextropropoxyphen napsylate ?,description,24,"[{'entity': -0.51742893, 'description': -1.2587849, 'ab': -2.1211886, 'n': -9.708751, 'human': -15.282274}]",entity
What Don McLean song laments the day Buddy Holly died ?,entity,5,"[{'description': -0.004348454, 'entity': -5.446754, 'human': -10.834983, 'n': -12.111289, 'ab': -12.963455}]",description
What is Srpska Krajina ?,description,24,"[{'entity': -0.08243881, 'description': -2.8272889, 'ab': -3.9198105, 'location': -9.193774, 'n': -11.285235}]",entity
How was the Kennedy money made ?,description,26,"[{'description': -0.005843437, 'entity': -5.14717, 'n': -12.031652, 'location': -12.729475, 'human': -13.556692}]",description
What country is the worlds leading supplier of cannabis ?,location,33,"[{'location': -0.20498726, 'entity': -1.6937262, 'description': -6.537438, 'n': -9.859207, 'ab': -11.675659}]",location
What was the orca 's name that died of a fungal infection at Sea World ?,entity,2,"[{'entity': -0.012397679, 'description': -4.398124, 'human': -11.056579, 'n': -12.262053, 'location': -15.136481}]",entity
Who is the President of Pergament ?,human being,29,"[{'human': -0.20656733, 'entity': -1.681726, 'description': -7.5100946, 'n': -11.14087, 'location': -11.418177}]",human
What city is the Kentucky Horse Park near ?,location,32,"[{'location': -8.7733215e-06, 'entity': -11.908868, 'n': -13.617677, 'description': -13.979806, 'ab': -16.739975}]",location
What does Esa-Pekka Salonen look like ?,description,25,"[{'description': -0.0034458595, 'entity': -6.3430376, 'human': -6.3894467, 'n': -13.309125, 'location': -16.319866}]",description
"What cereal goes `` snap , crackle , pop '' ?",entity,9,"[{'description': -0.08287329, 'entity': -2.532252, 'ab': -10.682344, 'human': -11.107546, 'n': -11.234775}]",description
How did water appear on the earth ?,description,26,"[{'description': -0.0015602494, 'entity': -6.46838, 'n': -11.885234, 'location': -14.500804, 'ab': -17.1291}]",description
Where did Hillary Clinton graduate college ?,location,35,"[{'location': -0.6099265, 'entity': -1.1763176, 'description': -2.086672, 'human': -3.7977698, 'n': -6.492166}]",location
What does Robert mean ?,description,24,"[{'human': -0.0067834174, 'entity': -5.413964, 'description': -6.076462, 'n': -11.69155, 'ab': -13.450874}]",human
How do anti-locking brakes work ?,description,26,"[{'description': -4.072407e-05, 'entity': -10.150682, 'n': -13.370996, 'ab': -16.51413, 'human': -17.687134}]",description
What colors is magenta made of ?,entity,4,"[{'description': -9.317965e-05, 'entity': -9.303339, 'n': -13.139749, 'human': -16.803955, 'ab': -17.472084}]",description
How does the chain of command work inside an US army Apache helicopter ?,description,26,"[{'description': -0.0002396524, 'entity': -8.338962, 'n': -14.312808, 'location': -17.047846, 'human': -17.650951}]",description
Which medium is Hamblen the first singing cowboy in ?,entity,5,"[{'description': -0.051535875, 'entity': -2.9933083, 'human': -9.507354, 'n': -10.895293, 'location': -11.207207}]",description
What is the name of Jamiroquai new album ?,entity,5,"[{'entity': -0.43597645, 'description': -1.0403085, 'n': -11.412401, 'human': -11.660959, 'ab': -13.529581}]",entity
What is a hormone ?,description,24,"[{'description': -0.14707458, 'entity': -1.9894742, 'n': -12.860011, 'ab': -14.751055, 'human': -15.821253}]",description
What American naval officer broke Japan 's isolationist policy in 1853 ?,human being,29,"[{'entity': -0.017517667, 'description': -4.5053334, 'human': -5.075188, 'n': -9.923721, 'location': -11.422501}]",entity
What is fellatio ?,description,24,"[{'description': -0.0013282921, 'entity': -6.6256866, 'n': -13.732574, 'human': -14.989265, 'ab': -15.329047}]",description
What characteristics contribute to its `` intelligence '' ?,description,27,"[{'description': -1.8788729e-05, 'entity': -10.899684, 'n': -15.282413, 'human': -16.828396, 'ab': -18.048008}]",description
What significant battle was fought in Belgium in 1815 ?,entity,8,"[{'location': -0.82058924, 'description': -1.182688, 'entity': -1.3746588, 'n': -7.722819, 'human': -12.391931}]",location
Which police department made the all-time biggest cocaine bust in Ventura County ?,human being,28,"[{'entity': -0.6990593, 'location': -0.76195604, 'description': -3.3235862, 'n': -9.152435, 'ab': -9.886299}]",entity
Who gave us the `` Rolling Writer '' ?,human being,29,"[{'entity': -0.18577276, 'description': -2.337903, 'human': -2.6175277, 'n': -11.197292, 'location': -11.786655}]",entity
How were the days of the week named ?,description,26,"[{'description': -0.0007606778, 'entity': -7.1858716, 'n': -13.03645, 'location': -14.556989, 'ab': -14.92104}]",description
Who wrote The Secret Life of Walter Mitty ?,human being,29,"[{'entity': -0.32657385, 'human': -1.2846656, 'description': -6.293828, 'n': -11.125218, 'location': -13.206608}]",entity
What 1965 film had Jack Lemmon portraying a cartoonist ?,entity,5,"[{'description': -0.018573733, 'entity': -3.9958377, 'n': -11.91212, 'human': -12.772418, 'location': -14.427592}]",description
What is fiber in food ?,description,24,"[{'description': -0.16753677, 'entity': -1.8694255, 'n': -10.322496, 'ab': -11.642878, 'location': -14.698297}]",description
What 's the traditional drink at the Kentucky Derby ?,entity,9,"[{'description': -0.10866301, 'entity': -2.2738395, 'n': -10.332807, 'location': -11.128666, 'ab': -12.747388}]",description
Who is the head of the World Bank ?,human being,29,"[{'human': -0.37788165, 'entity': -1.1570184, 'description': -8.37998, 'n': -10.500272, 'location': -12.12087}]",human
